x,y,token
-65.928734,-32.160496,Elliot
-62.88479,-10.398568,feelings
62.90354,8.933663,number
27.364084,0.21348861,sing
-0.64830256,21.125475,perfect
-45.295967,28.515514,please
10.644748,37.654663,deliver
14.353633,-21.108568,sleep
-35.155674,-17.233593,became
26.910023,23.925125,cometh
35.732162,-51.413673,blue
17.800652,4.178592,Their
-2.3949647,-55.628086,window
-1.155502,-59.948032,standing
-40.882053,-49.450336,girl
20.13692,34.10815,iniquity
-41.533916,17.073034,wonder
-45.701557,26.323523,need
-45.332474,24.774359,wait
-35.312916,5.554133,case
54.268925,32.418564,Pharaoh
-25.963123,9.287395,master
48.116737,36.314823,princes
14.511534,49.83161,Wherefore
-14.81387,-32.014812,silent
-50.027092,-35.581604,early
13.862585,50.051086,Because
55.391804,-6.0955896,iron
61.84662,-0.3221835,length
-23.069626,40.383526,receive
21.552479,-62.048244,line
32.098198,38.136047,concerning
-40.721146,24.17635,fellow
-31.608028,-46.781498,added
-49.427628,-26.7162,beginning
52.26783,-4.066317,heads
-56.448963,-26.817873,visit
6.891241,43.829403,surely
12.324734,39.508244,serve
-69.35061,5.312753,wanted
-66.13379,-28.298384,Edward
-51.101696,4.055654,pretty
-34.428986,-37.885525,instant
37.453205,31.306673,multitude
34.95836,-15.259928,cold
-50.170692,-13.527002,spirits
-63.373947,1.4736493,change
49.37932,12.054344,offerings
25.703049,63.011757,42
-48.090508,-4.6876893,general
-24.371262,10.525834,except
-66.200905,8.4037,pleased
-67.74444,-9.420681,subject
58.228287,47.443825,Levites
11.614841,50.777718,Be
65.70451,6.658438,twelve
15.6115465,32.213394,wisdom
7.3519645,38.424755,rise
25.0817,63.271885,44
54.275078,33.49389,host
-23.133217,45.02795,wrong
33.20629,0.6853687,filled
11.950182,39.40782,lest
-46.322342,17.475628,doing
34.02067,51.43474,Abraham
-19.007858,46.830692,Your
-9.153822,20.425238,secret
56.473274,33.21947,Philistines
36.140713,-57.180958,foot
66.24541,9.03864,lived
29.525486,13.688493,lie
-25.859293,21.22906,play
5.5957847,-59.5316,held
-56.29029,-4.916155,real
4.959515,46.072845,doth
-51.90273,-31.15702,town
-21.180443,56.008766,Enter
46.035275,34.990192,Jews
38.493088,50.724102,prophet
-15.3862095,-62.455406,Stubb
30.459284,16.590141,break
-59.45564,3.853037,comfort
-52.83277,19.566744,question
60.221264,45.456047,tribe
48.815403,50.757626,bare
-45.580353,13.607336,sometimes
-59.42809,-2.856714,account
-26.087315,-22.227114,beautiful
39.902695,13.333838,houses
66.53519,6.7823925,thirty
50.0507,51.060898,Joseph
-37.590782,34.27946,won
52.50484,-17.885885,mountains
20.904896,20.065327,ears
2.5174417,-49.14198,Queequeg
-65.04074,-32.737965,Dashwood
-32.517918,12.843515,seems
-45.26659,24.726719,stay
-64.70644,-29.21213,Louisa
3.765528,55.22406,wilt
10.679643,31.53705,yea
19.403942,32.991627,righteous
57.724537,15.637616,ark
56.737064,6.31027,stones
5.687534,43.967285,kill
5.891872,41.70695,follow
45.251907,16.386269,therein
46.09287,33.564007,disciples
-50.23276,-9.654405,taking
-30.680315,13.237916,late
12.646048,57.815304,Take
28.646841,43.101665,prophets
-48.2587,-8.233715,state
-19.798986,2.3873603,order
41.025715,45.66313,Paul
-67.42152,12.704113,believed
3.960377,19.312946,throne
-1.657937,-59.960808,sitting
-30.812317,-38.31548,smile
54.128254,36.46941,smote
-50.25371,-30.02714,entered
37.755875,-1.2277158,bow
-55.1542,-1.4286194,nature
47.29038,33.058365,departed
27.462654,13.499732,beast
-44.57072,16.011751,talking
-36.370556,-39.356693,speaking
47.961464,21.060244,lifted
47.38311,17.485806,inheritance
46.00252,-40.375313,sky
-66.07291,-33.502182,Fairfax
-36.9183,-31.780373,minutes
49.206547,12.110895,sacrifice
-65.351234,-31.896954,Churchill
10.955649,43.10908,command
-0.870347,45.46607,Though
58.488632,35.45892,dwelt
2.1941748,-59.358513,caught
-8.106473,-17.176292,whales
37.864426,-40.48189,bright
32.240536,-54.553093,hat
15.672893,32.119057,understanding
20.460321,36.21075,wrath
57.64472,19.04649,temple
9.018334,-50.903934,arms
52.35001,26.19209,plain
27.578003,29.865894,stranger
40.265713,49.72208,angel
-49.429413,-28.678844,met
59.93881,7.8964987,horses
-47.79811,13.977249,perfectly
55.636215,22.764729,hill
20.587,20.87555,tongue
20.357399,44.559185,Spirit
-17.58764,7.8684883,story
14.469564,33.23217,grace
25.641935,63.40099,43
50.65947,20.205273,built
6.18771,33.957314,loved
0.4371266,-27.068865,watch
-21.464642,-13.671585,human
-14.109456,24.275156,trouble
51.86861,27.809013,thence
-14.756345,61.113026,Caesar
-33.19798,-49.832058,turning
10.522661,38.40008,trust
43.655617,2.3160253,spread
-45.49842,-36.016125,afterwards
20.912224,22.362963,rich
-1.6043334,41.779022,Man
20.669611,20.612171,lips
-44.878483,16.274212,thinking
-64.16247,-32.893414,Jennings
-61.806377,-4.4546876,happiness
-23.534977,40.80815,desire
58.790188,57.37825,begat
13.049477,42.2216,yourselves
18.498041,41.24355,blessed
10.240467,29.755072,greater
25.944538,0.40172967,song
-65.91372,-28.371656,Lucy
66.610344,6.705322,fifty
14.811887,-63.194145,across
-24.360218,-12.02969,fact
51.356056,-34.53334,o
34.069946,20.68099,enter
